filename,subregion_time,skip_time,num_makeup_region,num_subregion_with_annot,total_listen_time,num_extra_region,silence_time,num_surplus_region,surplus_time,makeup_time,extra_time,extra_time_hour,makeup_time_hour,surplus_time_hour,silence_time_hour,subregion_time_hour,skip_time_hour,skip_silence_overlap_hour,end_time_hour,total_listen_time_hour,silence_raw_hour,subregion_raw_hour,num_raw_subregion,subregions,positions,ranks,counts,removals
02_08_sparse_code.cha,10800000,0,0,3,15496090,0,0,3,4696090,0,0,0.0,0.0,1.3,0.0,3.0,0.0,0.0,16.0,4.3,5.61,5.0,5,"['Position: 1, Rank: 2', 'Position: 2, Rank: 4', 'Position: 3, Rank: 1', 'Position: 4, Rank: 3', 'Position: 5, Rank: 5']","['1', '2', '3', '4', '5']","['2', '4', '1', '3', '5']","[117, 112, 70, 56, 67]","['', 'Subregion removed for overlapping with surplus', '', '', 'Subregion removed for overlapping with surplus']"
02_10_sparse_code.cha,14400000,4260630,1,4,13210550,0,530350,0,0,3601530,0,0.0,1.0,0.0,0.15,4.0,1.18,0.0,16.0,3.67,3.85,5.0,5,"['Position: 1, Rank: 4', 'Position: 2, Rank: 3', 'Position: 3, Rank: 1', 'Position: 4, Rank: 2', 'Position: 5, Rank: 5']","['1', '2', '3', '4', '5']","['4', '3', '1', '2', '5']","[26, 41, 18, 68, 89]","['', '', '', '', 'Subregion removed for having a nested makeup or surplus region']"
02_11_sparse_code.cha,14400000,1092660,1,4,14524210,0,10990,0,0,1227860,0,0.0,0.34,0.0,0.0,4.0,0.3,0.0,16.0,4.03,4.19,5.0,5,"['Position: 1, Rank: 1', 'Position: 2, Rank: 5', 'Position: 3, Rank: 4', 'Position: 4, Rank: 2', 'Position: 5, Rank: 3']","['1', '2', '3', '4', '5']","['1', '5', '4', '2', '3']","[84, 36, 72, 89, 169]","['', 'Subregion removed for having a nested makeup or surplus region', '', '', '']"
02_12_sparse_code.cha,14400000,0,1,4,15223830,1,415480,0,0,141460,1097850,0.3,0.04,0.0,0.12,4.0,0.0,0.0,16.0,4.23,8.93,5.0,5,"['Position: 1, Rank: 3', 'Position: 2, Rank: 2', 'Position: 3, Rank: 1', 'Position: 4, Rank: 5', 'Position: 5, Rank: 4']","['1', '2', '3', '4', '5']","['3', '2', '1', '5', '4']","[182, 137, 146, 2, 61]","['', '', '', 'Subregion removed for having a nested makeup or surplus region', '']"
02_13_sparse_code.cha,14400000,526250,1,4,14411640,0,0,0,0,537890,0,0.0,0.15,0.0,0.0,4.0,0.15,0.0,16.0,4.0,3.33,5.0,5,"['Position: 1, Rank: 4', 'Position: 2, Rank: 1', 'Position: 3, Rank: 2', 'Position: 4, Rank: 3', 'Position: 5, Rank: 5']","['1', '2', '3', '4', '5']","['4', '1', '2', '3', '5']","[164, 106, 116, 135, 3]","['', '', '', '', 'Subregion removed for having a nested makeup or surplus region']"
02_14_sparse_code.cha,10800000,0,0,3,10800000,0,0,0,0,0,0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,16.0,3.0,7.56,5.0,5,"['Position: 1, Rank: 1', 'Position: 2, Rank: 4', 'Position: 3, Rank: 2', 'Position: 4, Rank: 5', 'Position: 5, Rank: 3']","['1', '2', '3', '4', '5']","['1', '4', '2', '5', '3']","[88, 0, 60, 0, 163]","['', 'Subregion removed for not having any annotations', '', 'Subregion removed for not having any annotations', '']"
02_15_sparse_code.cha,10800000,0,0,3,10655430,0,144570,0,0,0,0,0.0,0.0,0.0,0.04,3.0,0.0,0.0,16.0,2.96,8.02,5.0,5,"['Position: 1, Rank: 3', 'Position: 2, Rank: 2', 'Position: 3, Rank: 4', 'Position: 4, Rank: 5', 'Position: 5, Rank: 1']","['1', '2', '3', '4', '5']","['3', '2', '4', '5', '1']","[94, 139, 0, 0, 131]","['', '', 'Subregion removed for not having any annotations', 'Subregion removed for not having any annotations', '']"
02_16_sparse_code.cha,10800000,0,0,3,10800000,0,0,0,0,0,0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,16.0,3.0,6.34,5.0,5,"['Position: 1, Rank: 4', 'Position: 2, Rank: 5', 'Position: 3, Rank: 1', 'Position: 4, Rank: 3', 'Position: 5, Rank: 2']","['1', '2', '3', '4', '5']","['4', '5', '1', '3', '2']","[0, 0, 47, 82, 38]","['Subregion removed for not having any annotations', 'Subregion removed for not having any annotations', '', '', '']"
02_17_sparse_code.cha,10800000,0,0,3,10800000,0,0,0,0,0,0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,16.0,3.0,7.14,5.0,5,"['Position: 1, Rank: 2', 'Position: 2, Rank: 3', 'Position: 3, Rank: 1', 'Position: 4, Rank: 5', 'Position: 5, Rank: 4']","['1', '2', '3', '4', '5']","['2', '3', '1', '5', '4']","[88, 64, 154, 0, 0]","['', '', '', 'Subregion removed for not having any annotations', 'Subregion removed for not having any annotations']"
03_06_sparse_code.cha,0,27697720,0,0,28104380,0,25518140,0,0,0,0,0.0,0.0,0.0,7.09,0.0,7.69,6.59,16.0,7.81,7.09,0.0,0,[],[],[],"[0, 0, 0, 0, 0]","['', '', '', '', '']"
