filename,1,2,3,4,5,total,outside
11_16_sparse_code.cha,46,0,121,0,47,214,0
11_17_sparse_code.cha,132,50,0,57,96,336,1
12_06_sparse_code.cha,0,0,0,0,0,1573,1573
12_07_sparse_code.cha,0,0,0,0,0,1606,1606
12_08_sparse_code.cha,250,168,0,156,172,746,0
12_09_sparse_code.cha,130,0,48,86,86,365,0
12_10_sparse_code.cha,104,56,0,134,161,498,0
12_11_sparse_code.cha,128,107,108,0,130,473,0
12_12_sparse_code.cha,190,200,0,88,8,486,0
12_13_sparse_code.cha,85,154,123,186,0,548,0
12_14_sparse_code.cha,0,150,161,0,171,482,0
12_15_sparse_code.cha,0,86,0,164,220,470,0
12_16_sparse_code.cha,0,157,119,146,0,422,0
12_17_sparse_code.cha,129,2,242,235,0,609,1
13_06_sparse_code.cha,0,0,0,0,0,455,455
13_07_sparse_code.cha,0,0,0,0,0,257,257
13_08_sparse_code.cha,86,100,92,128,0,406,0
13_09_sparse_code.cha,37,45,38,66,52,245,0
13_10_sparse_code.cha,20,163,87,114,52,436,0
13_11_sparse_code.cha,146,9,107,31,54,347,0
13_12_sparse_code.cha,102,41,0,58,59,260,0
13_13_sparse_code.cha,27,122,0,9,27,185,0
13_14_sparse_code.cha,164,93,0,0,136,393,0
13_15_sparse_code.cha,199,199,188,0,0,586,0
13_16_sparse_code.cha,12,28,63,131,0,234,0
13_17_sparse_code.cha,21,32,0,41,3,97,0
14_06_sparse_code.cha,0,0,0,0,0,1053,1053
14_07_sparse_code.cha,0,0,0,0,0,609,609
14_08_sparse_code.cha,1,130,134,94,3,442,80
14_09_sparse_code.cha,41,28,68,175,0,312,0
14_10_sparse_code.cha,149,8,96,0,70,323,0
14_11_sparse_code.cha,96,54,111,0,96,357,0
14_12_sparse_code.cha,134,0,81,101,95,413,2
14_13_sparse_code.cha,101,70,142,0,101,414,0
14_14_sparse_code.cha,254,113,1,65,0,433,0
14_15_sparse_code.cha,0,0,56,32,58,146,0
14_16_sparse_code.cha,0,157,173,128,0,458,0
14_17_sparse_code.cha,152,0,85,0,112,349,0
15_06_sparse_code.cha,0,0,0,0,0,999,999
15_07_sparse_code.cha,0,0,0,0,0,224,224
15_08_sparse_code.cha,185,37,44,106,136,508,0
15_09_sparse_code.cha,29,76,77,25,115,322,0
15_10_sparse_code.cha,60,21,19,72,175,348,1
15_11_sparse_code.cha,77,50,92,40,0,259,0
15_12_sparse_code.cha,173,66,56,74,50,777,358
15_13_sparse_code.cha,155,96,0,149,101,501,0
15_14_sparse_code.cha,0,31,101,129,155,416,0
15_15_sparse_code.cha,39,0,0,129,78,246,0
15_16_sparse_code.cha,67,0,0,217,270,554,0
15_17_sparse_code.cha,92,0,42,0,71,205,0
16_06_sparse_code.cha,0,0,0,0,0,923,923
16_07_sparse_code.cha,0,0,0,0,0,817,817
16_08_sparse_code.cha,91,8,0,0,0,99,0
16_09_sparse_code.cha,130,0,124,194,131,579,0
16_10_sparse_code.cha,49,71,78,90,25,313,0
16_11_sparse_code.cha,139,208,0,150,54,551,0
16_12_sparse_code.cha,67,257,181,198,29,732,0
16_13_sparse_code.cha,233,141,285,0,164,823,0
16_14_sparse_code.cha,81,0,142,0,174,397,0
16_15_sparse_code.cha,389,361,0,363,0,1113,0
16_16_sparse_code.cha,0,128,302,119,0,549,0
16_17_sparse_code.cha,93,0,86,0,98,277,0
17_06_sparse_code.cha,0,0,0,0,0,1061,1061
17_07_sparse_code.cha,0,0,0,0,0,1177,1177
17_08_sparse_code.cha,65,113,12,23,91,304,0
17_09_sparse_code.cha,0,58,178,188,42,466,0
17_10_sparse_code.cha,80,258,74,154,164,730,0
17_11_sparse_code.cha,153,0,42,74,65,334,0
17_12_sparse_code.cha,65,53,47,73,0,238,0
17_13_sparse_code.cha,145,146,0,183,145,619,0
17_14_sparse_code.cha,0,196,0,108,108,412,0
17_15_sparse_code.cha,212,0,240,0,274,726,0
17_16_sparse_code.cha,266,0,222,129,0,617,0
17_17_sparse_code.cha,264,0,267,228,0,759,0
18_06_sparse_code.cha,0,0,0,0,0,862,862
18_07_sparse_code.cha,0,0,0,0,0,982,982
18_08_sparse_code.cha,174,59,49,70,31,383,0
18_09_sparse_code.cha,7,97,25,137,51,317,0
18_10_sparse_code.cha,211,0,97,94,107,509,0
18_11_sparse_code.cha,135,0,48,57,128,368,0
18_12_sparse_code.cha,0,91,85,92,45,313,0
18_13_sparse_code.cha,100,0,92,63,103,358,0
18_14_sparse_code.cha,0,0,73,54,83,210,0
18_15_sparse_code.cha,78,33,105,27,0,243,0
18_16_sparse_code.cha,97,233,230,0,0,560,0
18_17_sparse_code.cha,175,155,61,0,0,391,0
19_06_sparse_code.cha,0,0,0,0,0,1079,1079
19_07_sparse_code.cha,0,0,0,0,0,821,821
19_08_sparse_code.cha,145,0,135,107,92,479,0
19_09_sparse_code.cha,124,0,207,130,223,684,0
19_10_sparse_code.cha,80,0,89,142,163,474,0
19_11_sparse_code.cha,0,146,52,262,84,544,0
19_12_sparse_code.cha,0,143,172,355,142,812,0
19_13_sparse_code.cha,349,317,528,167,0,1605,244
19_14_sparse_code.cha,243,297,0,0,310,850,0
19_15_sparse_code.cha,0,359,0,159,406,924,0
19_16_sparse_code.cha,288,0,305,0,362,955,0
19_17_sparse_code.cha,325,320,208,0,0,853,0
20_06_sparse_code.cha,0,0,0,0,0,939,939
20_07_sparse_code.cha,0,0,0,0,0,440,440
20_08_sparse_code.cha,85,58,0,65,128,336,0
20_09_sparse_code.cha,109,26,96,97,91,419,0
20_10_sparse_code.cha,13,76,59,187,91,476,0
20_11_sparse_code.cha,43,75,143,0,42,303,0
20_12_sparse_code.cha,57,78,0,27,81,243,0
20_13_sparse_code.cha,107,72,0,141,106,426,0
20_14_sparse_code.cha,84,0,59,0,123,266,0
20_15_sparse_code.cha,73,0,100,0,94,267,0
20_16_sparse_code.cha,0,184,0,58,70,312,0
20_17_sparse_code.cha,163,111,0,0,152,426,0
