Filename,subj,month,subreg_tot_ms,makeup_tot_ms,extra_tot_ms,sil_tot_ms,skip_tot_ms,num_subreg_annots,num_extra_subreg,num_makeup_subreg,total_listen_ms,total_listen_hr
06_16_sparse_code.cha,6,16,10800000,0,0,0,0,3,0,0,10800000,3
06_17_sparse_code.cha,6,17,10800000,0,0,0,0,3,0,0,10800000,3
44_06_sparse_code.cha,44,6,0,0,0,27938260,3016900,0,0,0,29661730,8.239369444
35_06_sparse_code.cha,35,6,0,0,0,12405440,1445560,0,0,0,30020860,8.339127778
39_11_sparse_code.cha,39,11,14400000,0,0,616470,69730,4,0,0,13713800,3.809388889
36_08_sparse_code.cha,36,8,14400000,0,0,669500,0,4,0,0,13730500,3.814027778
27_12_sparse_code.cha,27,12,14400000,734170,0,687530,687530,4,0,1,13759110,3.821975
07_13_sparse_code.cha,7,13,14400000,1022680,242760,0,1893880,4,1,1,13771560,3.825433333
27_10_sparse_code.cha,27,10,14400000,777110,0,694350,694350,4,0,1,13788410,3.830113889
26_11_sparse_code.cha,26,11,14400000,792630,0,1395530,0,4,0,1,13797100,3.832527778
07_14_sparse_code.cha,7,14,10800000,0,0,0,0,3,0,0,10800000,3
07_15_sparse_code.cha,7,15,7200000,3080130,0,0,1896690,2,0,1,8383440,2.328733333
07_16_sparse_code.cha,7,16,10799990,840490,0,822490,821390,3,0,1,9996600,2.776833333
